,title,description,release_date,tags,rating
79,Храброе сердце,"Шотландия, XIII век. Легендарный национальный герой Уильям Уоллас, вернувшись домой с войны, мечтает о мирной жизни. Однако его невеста убита, и Уоллас вновь вступает в битву.Потомки Уолласа снялись в картине в эпизодических ролях. Они также помогали Мелу Гибсону - режиссеру и исполнителю главной роли - восстановить исторические события.",24.05.1995,"биографический, боевик, военный, драма, исторический",9.07/10
80,Умница Уилл Хантинг,"Уилл Хантинг вырос в пригороде Бостона. Он почти не учился, ему 20 лет и он постоянно попадает в неприятные передряги. Но у него голова гения, голова математика. Уилл почти что презирает студентов колледжа, но его постоянно тянет туда, где они собираются. Он выставляет их дураками и расслабляется. Однажды в баре он знакомится со студенткой, и она готова пойти на все, чтобы заставить Уилла поверить в себя и начать учиться.",09.01.1998,драма,8.53/10
81,Принцесса Мононоке,"Отправившийся в путешествие за лекарством от смертельного  проклятья принц Ашитака оказывается вовлечен в войну между ведомыми злой  госпожой Эбоши людьми и сказочными обитателями леса, во главе которых стоит  прелестная повелительница зверей принцесса Мононоке.",12.07.1997,"аниме, драма, мультфильм, приключения, фэнтези",8.78/10
82,Джокер,"История о том, как Артур Флек, страдающий психическим расстройством и мечтающий работать стендап-комиком, становится Джокером - известным на весь Готэм Сити преступником.",03.10.2019,"драма, кинокомикс, криминал, приключения, триллер",8.38/10
83,Твое имя,"Мицуха - скромная девушка, живущая в маленьком провинциальном городе в горах. Однажды она узнает, что иногда не по своей воле меняется телом с Таки - старшеклассником из Токио. Вместе им предстоит разобраться в причинах этого мистического явления.",26.08.2016,"аниме, драма, мелодрама, мультфильм, фэнтези",8.39/10
84,Рай и ад,"Как близко иной раз беда проходит мимо нас, но многи ли способны, оценив дар судьбы, помочь справиться с этой бедой тому, в которого она по ошибке попала? Сына некогда состоятельного бизнесмена, чья компания ныне стоит на грани банкротства, чуть не похитили злоумышленники с известной целью выкупа. Однако случилось это лишь по ошибке - вместо него они выкрали сына шофера этого бизнесмена. И теперь последнему предстоит сделать нелегкий выбор: выплатить солидную сумму похитителям, или же на эти деньги, используя последний шанс, спасти собственную компанию, а вместе с ней, по сути, и всю свою жизнь? ",01.03.1963,"драма, криминал, мистика, триллер",8.33/10
85,Три идиота,"В центре сюжета - три друга. Один из них таинственным образом исчезает и двое оставшихся направляются на его поиски. Им предстоит длинный и опасный путь. И чтобы найти его, им надо обратиться к закоулкам их памяти, вспоминая истории из прошлого, пытаясь таким образом приоткрыть тайну их необыкновенного друга Ранчо.",23.12.2009,"драма, комедия",9.07/10
86,Однажды в Америке,"Это случилось однажды в Америке...Безумные 20-е годы прошлого века. На самом дне Нью-Йоркских улиц встретилось несколько отчаянных парней. Их цель - стать королями преступного мира и ничто не может остановить их в этом начинании. Наказывая предателей, совершая сумасшедшие аферы, убирая с дороги упрямых конкурентов, день за днем они поднимались все выше и выше, пока их мечта не сбылась. И вряд ли бы они смогли достичь таких вершин, если бы не их клятва в дружбе и верности...",23.05.1984,"драма, криминал",8.92/10
87,Поющие под дождем,"Фильм ""Поющие под дождем"" - культовый музыкальный фильм, снятый в 1952 году режиссером Стэнли Доненом. Это история о периоде развития кинематографа с конца 1920-х до начала 1930-х годов, когда звук стал неотъемлемой частью кино. Главные роли в фильме исполнили Джин Келли, Дональд О’Коннор и Дебби Рейнольдс. Фильм поразил зрителей своими яркими костюмами, увлекательными танцевальными номерами и потрясающей игрой актеров. Он также стал одним из первых успешных звуковых фильмов в истории кино и первым музыкальным фильмом, который был снят в цвете. Кассовые сборы фильма составили более 7 миллионов долларов, что на тот момент было очень большой суммой. Фильм также получил две награды ""Оскар"" в номинациях ""Лучший музыкальный фильм"" и ""Лучший музыкальный сценарий"". Кроме того, он был включен в список ""100 лучших фильмов Америки"" Американского института кинематографии.  Фильм ""Поющие под дождем"" остается классикой мирового кинематографа и одним из лучших музыкальных фильмов в истории. Он стал символом эпохи, когда кино начало становиться более зрелищным и красочным. Фильм по-прежнему вдохновляет зрителей на весь мир и является прекрасным примером того, как можно сочетать развлекательный жанр с высоким искусством.",11.04.1952,"комедия, мелодрама, мюзикл",8.86/10
88,Капернаум,"В очень бедной бейрутской семье живет 12-летний мальчик Зейн. С утра до вечера он следит за своими младшими братьями и сестрами, а также пытается зарабатывать хоть какие-то деньги, чтобы прокормить семью. Но однажды он получает 5 лет тюрьмы за насильственные действия. И попав за решетку, он подает в суд на своих родителей за то, что они подарили ему жизнь...",17.05.2018,драма,8.00/10
89,Иди и смотри,"Во время Великой Отечественной войны, на оккупированной фашистами территории парень находит старую винтовку и присоединяется к партизанскому движению сопротивления против безжалостных немецких войск. Он видит и переживает страшные ужасы войны. Фильм основан на документальных фактах и перекликается с ""Хатынской повестью"" Алеся Адамовича.",10.07.1985,"военный, драма",8.67/10
90,Реквием по мечте,"Наркотики. Они забирают ум, тело и душу. Четыре жизни. Четыре неудачи. Четыре наркомана. Каждый из них пытался выстроить свой путь к успеху, но провалился. И выход они нашли в четырех разных видах наркотиков. И вскоре им открылись все ужасы мира наркоманов, скрытого ""Другого"" мира. ",03.11.2000,драма,8.62/10
91,История Игрушек 3: Большой Побег,"После того, как повзрослевший малыш Энди уезжает учиться в колледж, его старые друзья Базз, Вудди и другие игрушки попадают в детский сад, где начинаются их новые приключения.",16.06.2010,"детский, комедия, мультфильм, приключения, семейный",8.57/10
92,Звездные войны: Эпизод 6 - Возвращение Джедая,"Дарт Вейдер и Император создают новую ""Звезду Смерти"", чтобы нанести последний и сокрушительный удар по повстанцам и их союзникам для того, чтобы раз и навсегда покончить с ними. Хан Соло попал в лапы к отвратительному и могущественному повелителю преступников Галактики - Джаббе Хату. Люк Скайуокер вместе с красивой принцессой Леей и верными и немного неуклюжими дроидами R2D2 и C-3PO спешат к нему на помощь, чтобы оттуда отправиться на последний и решительный бой с Императором и его верным помощником - Дартом Вейдером, который является по злому року отцом Люка. В этой схватке победитель останется только один...",25.05.1983,"боевик, приключения, фантастика, фэнтези",8.65/10
93,Вечное сияние чистого разума,"Однажды Джоэл узнает, что его подружка Клементина решила стереть из памяти все воспоминания о нем. Обиженный Джоэл тоже решается на такую операцию. Но чем меньше он помнит, тем больше любит Клементину и хочет ее вернуть.Название картины было взято из стихотворения ""Элоиза Абеляру"" английского поэта Александра Поупа (1688 - 1744)",19.03.2004,"драма, мелодрама",8.81/10
94,Охота,"Жизнь 40-летнего учителя, недавно пережившего невероятно тяжелый развод, начинает постепенно налаживаться. Он находит новую любовь, получает хорошие известия от своего сына. У него появляется надежда. Надежда, которая вскоре будет разбита на мелкие кусочки «невинной маленькой ложью». ",25.10.2012,драма,8.57/10
95,2001 год: Космическая одиссея,Американцы обнаруживают погребенный на луне артефакт внеземного происхождения. 18 месяцев спустя по направлению к Юпитеру вылетает космический корабль с пятью космонавтами на борту. Конечная цель экспедиции известная только обладающему искусственным интеллектом бортовому компьютеру HAL 9000. ,02.04.1968,"детектив, приключения, фантастика",8.45/10
96,Жить,"Кандзи Ватанабэ жить осталось недолго - у него обнаружили рак желудка в неоперабельной стадии. Оглядываясь назад он осознает, что жизнь его оказалась прожита впустую: 30 лет бездумного сидения на бессмысленной работе чиновника, неблагодарный сын и никакого наследия после себя. Он впадает в депрессию, впервые в жизни не выходит на работу, вместо этого отправляясь по барам и кабакам тратить накопившиеся деньги. Вскоре к нему присоединяются поэт и девушка, работающая на фабрике по производству детских игрушек. Последнее наталкивает его на мысль...Он решает оставить после себя хоть что-то. Детскую площадку. Небольшую, но чтобы хоть у кого-то в жизни стало чуточку больше радости. Девять кругов бюрократического ада, угрозы со стороны мафии, гнев начальства, необходимость настаивать и умолять, собирая бесчисленные документы и печати - ничто больше не пугает его на пути к заветной цели. Ничто, кроме возможности не успеть...",09.10.1952,драма,9.00/10
97,Бешеные псы,"Шесть преступников, никогда в жизни личной и профессиональной не пересекавшихся. Один криминальный босс, одно задание. Джо Кэбот нанимает шестерых грабителей, чтобы они принесли ему хороший улов бриллиантов.Кажется, что все продумано и что у дела не может быть иного финала, кроме как успешного. Но в самый напряженный момент все начинает идти наперекосяк, появляется полиция, а вскоре и труп одного из шести наемников. У оставшихся начинают возникать подозрения: есть ли среди них крыса?",25.06.1992,"драма, криминал, триллер",8.63/10
98,Лоуренс Аравийский,"Биографическая военная драма, рассказывающая об одной из наиболее ярких и противоречивых фигур первой мировой войны – английском разведчике Томасе Эдварде Лоуренсе.",30.01.1963,"биографический, военный, драма, приключения",8.87/10
99,Квартира," Пытающийся поскорее  продвинуться по служебной лестнице мужчина предоставляет ключи от своей  холостяцкой квартиры своему начальнику. Все идет хорошо до тех пор, пока он не  знакомится и не влюбляется в его любовницу.",16.09.1960,"драма, комедия, мелодрама",8.07/10
100,Пожары," Желая исполнить последнее желание своей матери, брат и  сестра близнецы отправляются на Ближний Восток на поиски своих родственников.",12.01.2011,"военный, детектив, драма",7.38/10
101,На север через северо-запад,"Невезучий менеджер по работе с клиентами рекламного агентства, ошибочно принятый иностранными шпионами за правительственного агента, бежит от них через всю страну, отчаянно цепляясь за жизнь. ",17.09.1959,"детектив, мелодрама, приключения, триллер",8.05/10
102,Оппенгеймер,"О чем фильм ""Оппенгеймер""? Это история жизни Роберта Оппенгеймера - физика теоретика и профессора Калифорнийского университета в Беркли, ставшего одной их самых значимых фигур научного мира XX века. В годы Второй мировой войны он руководил ""Манхэттенским проектом"". И под его непосредственным руководством были созданы атомные заряды, которые легли в основу первых атомных бомб, которые были сброшены на японские города Хиросиму и Нагасаки. Изобретение этого оружия навсегда изменило историю человечества.",21.07.2023,"биографический, драма, исторический",8.20/10
103,Лицо со шрамом,"На поиски Великой Американской Мечты ринулись кубинские беженцы весной 1980 года, когда был открыт порт Мэйриэл Харбор. Для многих - это так и осталось мечтой, но Тони Монтана нашел ее в виде огромного богатства и безмерной власти. Мир заполнил его под именем - «Лицо со шрамом»...",09.02.1984,"боевик, драма, криминал",8.61/10
104,Гражданин Кейн,"Жизнеописание Чарльза Фостера Кейна, мультимиллионера и медиамагната, которое смертью не только заканчивается, но и начинается. Умирая в своем поместье, он произносит лишь слово ""бутон розы"" (в англ. - Rosebud), смысл которого никто объяснить не в состоянии. Тем не мене, один журналист все же берется за расследование с целью выяснить источник столь необычного предсмертного послания, благодаря чему перед зрителем, чередой флэшбеков, предстает вся жизнь Кейна, от бедного детства на севере до неограниченного информационного могущества, которое она распространил на все США. История взлета и падения, и извращения благородной идеи собственным эгоизмом, который, к концу жизни, оттолкнул от Кейна всех соратников, превратив его в изгоя. Частично основанный на биографии Уильяма Рэндольфа Херста - который, недовольный подобным изображением своей жизни, в свое время развернул против него масштабную информационную войну - этот первый полнометражный фильм Орсона Уэллса неоднократно и различными популярными изданиями признавался лучшим фильмом всех времен и народов. Признанный шедевр кинематографа, поклонниками которого являются как простые люди, так и многие звезды Голливуда, изучаемый во всех киношколах мира, и который рано или поздно должен увидеть всякий уважающий себя киноман.",06.06.1941,"детектив, драма",8.48/10
105,Двойная страховка,"Уолтер Нефф - страховой агент. В один из дней он отправляется домой к клиенту, чтобы проделать обычную процедуру - продлить полис на автомобиль. Но там он встречается с женой клиента, которая делает ему опасное предложение, от которого невозможно отказаться...",27.11.1944,"драма, криминал, триллер",8.25/10
106,М убийца,"Страшный маньяк появился в городе. Его жертвами становятся маленькие девочки. Жители в панике. Все полицейские города заняты розысками преступника, но их поиски затягиваются.  Поняв, что полицейским нужна помощь, весь преступный мир города начинает на убийцу собственную охоту...",11.05.1931,"драма, криминал, нуар, триллер",8.09/10
107,Головокружение,"Джон ""Скотти"" Фергюсон - детектив в отставке. Когда-то он подавал большие надежды, однако трагическая гибель напарника развила у него акрофобию, симптомы которой - панический страх, головокружение, депрессия - и вынудили его бросить работу. Однажды его нанимает старый знакомый Гэвин Элстер: тот обеспокоен странным поведением своей жены, Мадлен. С этих пор жизнь бывшего сыщика круто меняется. Вскоре Фергюсон выясняет, что она, одержимая биографией своей прабабушки, покончившей с собой в 26 лет, сама стремиться совершить суицид, что ей, вопреки всем старания Джона, вскоре удается. Правда, спустя годы он встречает женщину, как две капли воды похожую на Мадлен...Последняя совместная работа Альфреда Хичкока и Джеймса Стюарта, причиной чего стало холодное отношение к фильму как зрителей, так и кинокритиков. Картина, признанная лишь годы спустя, ставшая культовой и знаменитой только после выхода в повторный прокат в 83-ем, что лишний раз подтверждает простую истину: время - лучший критик. ",22.07.1958,"мелодрама, мистика, триллер",8.18/10
108,Цельнометаллическая оболочка,"Война во Вьетнаме, время морских пехотинцев. Новобранцев ждет жестокая школа, главным ужасом которой будут изощренные наказания. Но они должны это пережить, чтобы потом отправиться на настоящую войну и узнать, что и как происходит во Вьетнаме на самом деле.",11.09.1987,"боевик, военный, драма",8.61/10
109,Схватка,"Опытный грабитель банков вступает в дуэль с полицейским, который очень схож с ним по стилю работы.В фильме 65 сцен, и все они были сняты не в павильоне (как это обычно принято), а на улицах Лос-Анджелеса.Режиссер Майкл Манн признался, что идею фильма подсказал его друг-полицейский, убивший грабителя, с которым до этого был хорошо знаком.",13.01.1996,"боевик, драма, криминал, триллер",8.48/10
110,Амели,"Необычная и красивая сказка про очаровательную и немного странную девушку, которая решила помогать людям в поисках своего счастья...",25.04.2001,"драма, комедия, мелодрама",8.00/10
111,Вверх,"Мультфильм о том, как заветная мечта о приключениях может стать реальностью под конец жизни.",28.05.2009,"детский, комедия, мультфильм, приключения, семейный",8.47/10
112,Заводной апельсин,"Помещенного в тюрьму харизматичного и безжалостного лидера подростковой банды подвергают терапии по снижению подсознательной тяги к насилию. Однако результат оказывается не таким, каким его ожидали. ",13.01.1972,"драма, криминал, триллер, фантастика",8.43/10
113,Убить пересмешника,Америка времен  Великой Депрессии. Адвокат из Алабамы Аттикус Финч защищает ложно обвиненного в  изнасиловании чернокожего мужчину. ,25.12.1962,"детектив, драма, криминал",8.75/10
114,Развод Надера и Симин,"Иранская пара оказывается перед крайне непростым выбором:  уехать из Ирана в поисках лучше жизни для детей, или же остаться, чтобы  присматривать за страдающим от болезни Альцгеймера отцом главы семейства.",16.03.2011,драма,8.80/10
115,Афера,"1930-й год. Чикаго. Молодой мошенник, желающий отомстить криминальному банкиру за смерть своего партнера, объединяется с другим мошенником – мастером масштабных афер. ",25.12.1973,"драма, комедия, криминал",8.58/10
116,Крепкий орешек,"Полицейский Джон Макклэйн в одиночку сражается с бандой террористов в небоскребе Лос-Анджелеса.По сюжету, злоумышленники - немцы, однако в прокатной версии на территории Германии все террористы названы не ""немцами"", а ""европейцами"".",15.07.1988,"боевик, криминал, триллер",8.82/10
117,Индиана Джонс и последний крестовый поход,"В этой части Индиане Джонсу предстоит разыскать одну их самых таинственных реликвий - чашу Святой Грааль, которую держал в руках перед смертью сам Иисус Христос. И теперь, по приданию, любое живое существо, испившее из нее, получает бессмертие. На помощь Джонсу приходит его отец - Джонс-старший, который за познанием вечных тайн и загадок мира, не увидел, что сын  вырос и продолжает общаться с ним, как с неотесанным юношей. Но постепенно пререкания между ними отходят на второй план, а остается цель - Святой Грааль, за которым охотятся фашисты, которые хотят сделать бессмертным с помощью него  самого Адольфа Гитлера...Режиссер Стивен Спилберг решил снимать третий фильм о приключениях Индианы Джонса по двум причинам. Во-первых, он пообещал это своему другу - автору сценария и продюсеру Джорджу Лукасу. Хотя по поводу сценария они долго не могли прийти к единому решению: Лукас хотел, чтобы в фильме были призраки, а Спилберг был категорически против. Во-вторых, он хотел отомстить кинокритикам, обругавшим вторую серию фильма ""Индиана Джонс и Храм судьбы"". После выходы картины Спилберг признался, что ""Крестовый поход"" - его любимая часть трилогии. Этот фильм, кстати, единственный из трех, не допускал к просмотру детей младше 13 лет.",24.05.1989,"боевик, приключения, триллер",8.85/10
118,Звездочки на земле,"8-летний Ишан, необычный ребенок, чувствует себя одиноким и чужим в этом большом мире. Не справляющиеся с ним родители отправляют мальчика в интернат, где на свое счастье он находит единственного друга в лице временного учителя рисования.",21.12.2007,"драма, семейный",8.25/10
119,Метрополис,"В городе будущего, жители которого четко разделены на два  класса (класс рабочих и класс буржуа), сын самого влиятельного магната  влюбляется в девушку-предсказательницу из класса рабочих, предсказывающую  приход спасителя, который положит конец существующей несправедливости.",21.03.1927,"драма, триллер, фантастика",8.56/10
120,Большой куш,"Беспринципный боксерский промоутер, жестокий букмекер, русский гангстер, некомпетентные начинающие грабители и предположительно еврейский ювелир пытаются отыскать бесценный бриллиант. ",01.09.2000,"криминал, триллер",8.63/10
121,1917,"Фильм рассказывает об ужасах Первой мировой войны, которые испытывают на себе главные герои, попавшие с самую гущу событий.",04.12.2019,"военный, драма, исторический",8.16/10
122,Секреты Лос-Анджелеса,"Лос-Анджелес 50х, город в стиле нуар. Полиция коррумпирована, красотки из ночных баров продажны.Эд Эксли жил в городе блеска и беззакония, мечтая построить карьеру в полицейском участке. Бад Уайт не верил в закон, его ориентиром в работе было только собственное представление о справедливости. Джек Винсенс любил знаменитостей, потому он частенько был замешан в мелких, но грязных скандалах. Они были героями темного мира Лос-Анджелеса.",16.10.1997,"детектив, драма, криминал, нуар, триллер",8.55/10
123,Похитители велосипедов,"Давно не работавший Антонио Рикки наконец-то находит работу. Однако велосипед, необходимый для успешного выполнения работы, крадут, и Рикки с маленьким сыном должны найти похитителей во что бы то ни стало, ведь от этого зависит вся дальнейшая жизнь их семьи.",24.11.1948,"драма, криминал",8.20/10
124,Гамильтон,Современная бродвейская постановка рассказывает о жизни одного из основателей Америки и первого министра финансов - Александра Гамильтона.,03.07.2020,"биографический, драма, исторический, мюзикл",9.00/10
125,Таксист,"Он прошел всю войну во Вьетнаме. Он видел ВСЕ. Но теперь он простой таксист и работает в ночную смену на улицах Нью-Йорка. Каждую ночь он видит насилие и несправедливость, в глубине души надеясь, что бог очистит родной город от этой ""грязи"". Но его терпение заканчивается, когда он подвозит двенадцатилетнюю проститутку. Гнев переполняет его, и он отправляется с жаждой мести к ее хозяевам...",22.03.1976,"драма, криминал, нуар, триллер",8.51/10
126,Бункер,"Апрель 1945-го. С Востока на Германию идут русские войска, с Запада ее границы блокированы союзными силами. В это время в Берлине, столице Третьего Рейха, Гитлер все еще говорит о победе и требует от своих генералов борьбы до последней капли крови. Фильм рассказывает историю последних дней жизни великого фюрера. Его окружение разделилось на предателей, срочно покидающих страну, и преданных ему до конца, готовых умереть вместе со своим главой подчиненных. Сам Гитлер становится параноидальной личностью, сменяющей невероятно оптимистичные настроения на депрессивные в один миг.",08.09.2004,"биографический, военный, драма, исторический",8.16/10
127,Дангал,"Национальный чемпион Индии по вольной борьбе Сингх Пхогат решает бросить спортивную карьеру, чтобы устроиться на работу и помогать содержать свою семью. Расстроенный данным обстоятельством, он мечтает лишь о том, чтобы его будущий сын пошел по стопам своего отца и, в конечном итоге, смог принять участие на Олимпийских играх и выиграть золотую медаль для Индии. Но судьба решила сыграть с Сингхом злую шутку и одарила его четырьмя дочерями. Однако, когда он узнает, что две его дочери избили задиравших их парней, он принимает решение воспитать из них борцов, которые смогут драться с мужчинами на равных.",22.12.2016,"биографический, драма, спорт",8.60/10
128,Бэтмен: начало,"После смерти родителей Брюс Уэйн уезжает из родного города Готэма. Но, узнав, что Готэму грозит опасность, возвращается домой в образе своего альтер-эго Бэтмена.На съемочной площадке у Кристиана Бейла было два помощника, которые отвечали только за то, чтобы костюм Бэтмена не испачкался и не порвался.",15.06.2005,"боевик, кинокомикс, криминал, приключения, триллер",8.47/10
129,На несколько долларов больше,"Два охотника за головами из совершенно разных соображений объединяются,  чтобы выследить особо опасного преступника. ",18.12.1965,"боевик, вестерн, криминал, приключения",8.84/10
130,Волк с Уолл-стрит,"Фильм рассказывает о криминальном прошлом финансиста Джордана Белфорта. О том, как он оказался в тюрьме за махинации с ценными бумагами на бирже Уолл Стрит. Это история падения человека на самое дно и его возрождения с целью показать, откуда берется успех.",25.12.2013,"биографический, драма, комедия, криминал",8.26/10
131,Зеленая книга,"Фильм рассказывает реальную историю простого итало-американского вышибалы Тони Липа, который в 1962 году стал водителем лучшего джазового афро-американского пианиста Дона Ширли, на время его тура по южным штатам США.",11.09.2018,"биографический, драма, комедия, музыка",8.39/10
132,В джазе только девушки,"Два бедных чикагских музыканта, чтобы получить выгодную работу, да и заодно скрыться от гангстеров, которые хотят их убить, так как они стали свидетелями криминальной разборки, переодеваются в женские платья, садятся на поезд и вместе с женским музыкальным коллективом отправляются на юг страны...",29.03.1959,"комедия, криминал, мелодрама, музыка, приключения",8.73/10
133,Малыш,"Бродяга берет на себя заботу о брошенном матерью ребенке, однако вскоре их отношения оказываются под угрозой.",06.02.1921,"драма, комедия, семейный",8.67/10
134,Шоу Трумана,"В жизни Трумена было все. Все, как у обычных людей: детство, юность, работа, жена. Неприятные знакомые, прилипчивые соседи. Но было в его жизни нечто особенное: миллионы зрителей, следящих за каждым его шагом.",05.06.1998,"драма, фантастика",8.77/10
135,Нюрнбергский процесс,1948 год. Американский суд в оккупированной Германии судит четырех нацистов за совершенные ими военные преступления.,18.12.1961,"биографический, драма, исторический",8.00/10
136,Отец,"Перед тем как отправиться в Париж родная дочь решает найти сиделку единственному близкому человеку, своему одинокому отцу. Для своего почетного возраста Андре выглядит необычайно жизнерадостно и бодро и он отказывается от какой-либо помощи со стороны своей дочери Анны. Однако независимость мужчины пропадает, когда проявляются первые симптомы тяжелой болезни.",23.12.2020,"драма, комедия",8.18/10
137,Все о Еве," История упорной и совершенно беспринципной  актрисы-карьеристки Евы, готовой совершить любую подлость, если это хоть на шаг  приблизит ее к вершинам славы. ",15.01.1951,драма,8.25/10
138,Остров проклятых,"Действие фильма происходит в 1954 году. Леонардо ДиКаприо играет маршала США, расследующего исчезновение из психиатрической клиники женщины, которую подозревают в убийствах.",18.02.2010,"детектив, драма, триллер",8.75/10
139,Нефть,"Фильм снят по знаменитому роману Эптона Синклера лауреата Пулитцеровской премии.Магнат Плейнвью владелец крупной нефтедобывающей компании. Он считает, что на пути к успеху и процветания его компании все средства хороши, и поэтому чем больше зарабатывает он денег, тем больше человеческих душ он калечит...",11.01.2008,"драма, триллер",8.35/10
140,Парк Юрского периода,"Ученые смогли возродить доисторических динозавров, использовав клетки ДНК из следов их крови. Динозавры - это не только необычно, это еще и прибыльно. И вот, перед тем как открыть на острове свое неповторимое сафари, директор будущего парка Юрского периода приглашает к себе группу исследователей-ученых из разных областей.Но момент был выбран не самый удачный: разыгралась гроза, да еще и один из сотрудников, пытавшийся украсть образцы эмбрионов, выключил систему безопасности. Динозавры на свободе, их инстинкты говорят сами за себя. Оставаться на острове опасно, но и сбежать с него не так-то просто. ",13.06.1993,"боевик, приключения, фантастика",8.94/10
141,Топ Ган: Мэверик,"После более чем тридцатилетней службы в качестве одного из лучших авиаторов Военно-Морского Флота, Пит Митчелл находится там, где ему и хочется - летая как мужественный летчик-испытатель и уклоняясь от повышения в звании, которое могло бы его приземлить.",25.05.2022,"боевик, драма",8.53/10
142,Казино,"С Сэмом Ротстином по кличке Ас сравнится не мог никто: у него самое процветающее казино, самая красивая жена и самый преданный друг. Но фортуна переменчива, особенно в Лас-Вегасе.В основе фильма - книга журналиста Николса Пиледжи, который написал ее по протоколам судебного процесса в Канзас-Сити над главарями мафии и по опросам очевидцев.",20.01.1996,"драма, исторический, криминал, триллер",8.81/10
143,Ран,"История жадности, жажды власти и мести.Великий Лорд решил отойти в сторону, чтобы уступить свое место одному из трех сыновей: Таро, Дзиро или Сабуро. Он пригласил всех троих, по очереди, к себе во дворец. Старшие льстили отцу, младший предостерегал его. Наконец  попытки предупредить об опасности настолько разозлили старого Лорда, что он изгнал младшего из сыновей, решив полагаться лишь на себя.",01.06.1985,"боевик, военный, драма",7.73/10
144,Шестое чувство,"Восьмилетний мальчик Коул постоянно видит мертвых людей и разговаривает с ними. Ему пытается помочь детский психолог Малькольм Кроу.Хэйли Джоэл Осмент, которому в момент съемок было 9 лет, получил роль во многом благодаря тому, что был единственным мальчиком, пришедшим на кастинг в костюме и галстуке.Фраза ""Я вижу мертвых людей"" считается одной из самых популярных фраз в истории кинематографа и самой пародируемой в различных фильмах.",06.08.1999,"детектив, драма, мистика, триллер",8.52/10
145,Лабиринт Фавна,"Испания 1944 года. Это история о маленькой девочке Офелии и о ее жестоком отчиме -  военном офицере, который должен очистить окрестности от повстанцев. И девочка и военные пытаются найти свой путь к свободе или победе, и у всех время на исходе.Неподалеку от своего дома Офелия находит лабиринт, и ее проводником становится фея. В центре лабиринта живет Фавна, готовая рассказать Офелии и ее предназначении. Девочка - принцесса! Но чтобы найти свое королевство ей нужно пройти три страшных испытания. ",25.08.2006,"детектив, драма, триллер, фэнтези",8.53/10
146,Непрощенный,"Бывший преступник и жестокий убийца Уильям Мунни завязывает со своим криминальным прошлым. Он становится обычным фермером, любящим мужем и отличным отцом двоих детей. Но вскоре умирает его жена. Один он не может заработать достаточно денег, чтобы воспитывать детей, поэтому ""скрепя сердце"" он принимает предложения Скорфилда Кида выследить и поймать двух ковбоев, которые встали на преступный путь. Но жизнь вносит коррективы в его смелые планы...",01.09.1992,"вестерн, драма",8.59/10
147,Старикам тут не место,"В основе фильма лежит роман лауреата Пулитцеровской премии Кормака МакКарти.  Совершенно случайно обычный трудяга находит в пустыне гору трупов, грузовик с героином и два миллиона долларов. Он забирает деньги себе и провоцирует этим жуткую волну насилия, которую даже вся полиция Западного Техаса не может остановить.",21.11.2007,"вестерн, драма, криминал, триллер",8.33/10
148,Нечто,"На самом холодном континенте планеты - Антарктиде, небольшая команда ученых вступает в смертельную схватку с, проснувшейся после многовековой спячки, инопланетной особью.",20.08.1982,"детектив, триллер, ужасы, фантастика",8.77/10
149,Игры разума,"Фильм основан на реальных событиях. Талантливый ученый-математик Джон Нэш оказывается втянутым в  таинственный заговор. Однако врачи утверждают, что это лишь игра его воображения.Сцена в конце фильма, когда Нэш думает, пить ему чай или нет, основана на реальной встрече Рассела Кроу с Джоном Нэшем, когда тот 15 минут размышлял, что ему пить - чай или кофе.",04.01.2002,"биографический, драма",8.85/10
150,Убить Билла,"Черная Мамба была лучшей в банде убийц ""Смертоносные гадюки"". Но ее предали свои и едва не убили. Пролежав в коме пять лет, она очнулась для того, чтобы отомстить.Во время съемок сцены, где Гоугоу размахивает шаром с лезвием, актриса Чиаки Курияма случайно ударила им по голове Тарантино. Режиссер отделался испугом.Тарантино - большой поклонник Брюса Ли. Поэтому желтый комбинезон с черными лампасами, в который одета героиня Турман, - это дань памяти Ли. Именно такой костюм носил Брюс в фильме ""Игра смерти"", который он так и не успел закончить перед своей смертью в 1973 году.",10.10.2003,"боевик, драма, криминал, триллер",8.22/10
151,Сокровища Сьерра Мадре,"Два бедных американца, прознав от престарелого старателя о золотой  жиле в окрестностях Сьерра Мадре, вложив в дело все свои сбережения,  отправляются на поиски золотого песка. Найти золото оказывается гораздо проще,  чем не потерять человеческий облик при его виде и вернуться домой живыми.",29.04.1948,"боевик, вестерн, драма, приключения",8.77/10
